"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 07:20:40 GMT 2024","Mon Feb 12 07:20:40 GMT 2024","13","Orange Test Automation Suite","Orange HRM Test Automation","com.qa.orange.hrm.orangeTestCases.EmployeePageTest","com.qa.orange.hrm.orangeTestCases.EmployeePageTest","tc_hrm_employee_001","tc_hrm_employee_001",""
"passed","Mon Feb 12 07:20:49 GMT 2024","Mon Feb 12 07:20:49 GMT 2024","39","Orange Test Automation Suite","Orange HRM Test Automation","com.qa.orange.hrm.orangeTestCases.EmployeePageTest","com.qa.orange.hrm.orangeTestCases.EmployeePageTest","tc_hrm_employee_002","tc_hrm_employee_002",""
